player,shot,runs,balls,known_control_balls,controlled_balls,uncontrolled_balls,boundaries,dots,dismissals,strike_rate,control_pct,false_shot_pct,boundary_pct,dot_pct
Abdul Samad,On Drive,16,13,13,11,2,2,3,2,123.08,84.62,15.38,15.38,23.08
Abdul Samad,Flick,12,13,13,9,4,0,4,0,92.31,69.23,30.77,0.0,30.77
Abdul Samad,Pull,11,6,6,4,2,2,1,1,183.33,66.67,33.33,33.33,16.67
Abdul Samad,Cut Shot,8,6,6,6,0,1,2,0,133.33,100.0,0.0,16.67,33.33
Abdul Samad,Cover Drive,7,7,7,6,1,0,3,0,100.0,85.71,14.29,0.0,42.86
Abdul Samad,Slog Shot,6,2,2,1,1,1,1,1,300.0,50.0,50.0,50.0,50.0
Abdul Samad,Steered,5,3,3,3,0,1,1,0,166.67,100.0,0.0,33.33,33.33
Abdul Samad,Push,4,5,5,1,4,1,4,0,80.0,20.0,80.0,20.0,80.0
Abdul Samad,Square Drive,2,2,2,2,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Abdul Samad,Straight Drive,1,1,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0
Abdul Samad,Defended,0,2,2,2,0,0,2,0,0.0,100.0,0.0,0.0,100.0
Abdul Samad,Unknown,0,2,0,0,0,0,2,1,0.0,,,0.0,100.0
Abdul Samad,Dab,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Abdul Samad,Late Cut,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Abdul Samad,Left Alone,0,1,1,1,0,0,1,0,0.0,100.0,0.0,0.0,100.0
Abhishek Sharma,Unknown,268,119,0,0,0,43,30,4,225.21,,,36.13,25.21
Abhishek Sharma,Cover Drive,28,12,12,10,2,6,4,0,233.33,83.33,16.67,50.0,33.33
Abhishek Sharma,Pull,20,9,9,4,5,4,5,2,222.22,44.44,55.56,44.44,55.56
Abhishek Sharma,Square Drive,19,9,9,6,3,4,4,0,211.11,66.67,33.33,44.44,44.44
