player,match_id,start_date,venue,innings,batting_team,opposition,own_15_ball_phase,phase_label,runs,balls,strike_rate,expected_runs,runs_above_expected,runs_above_expected_per_100,sr_points_vs_match,sr_points_vs_teammates,sr_points_vs_league_phase,difficulty_adjusted_sr,difficulty_adjustment_delta
Abhishek Sharma,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,7,8,87.5,10.22,-3.22,-40.19,-90.07,-80.36,-57.01,75.42,-12.08
Aniket Verma,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,37,15,246.67,20.94,16.06,107.07,69.1,97.65,100.91,212.6,-34.06
Aniket Verma,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,16-30,6,3,200.0,5.04,0.96,32.0,22.43,50.98,38.58,172.38,-27.62
David Payne,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,6,5,120.0,6.12,-0.12,-2.39,-57.57,-44.35,-25.89,103.43,-16.57
Harsh Dubey,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,3,3,100.0,3.65,-0.65,-21.63,-77.57,-64.1,-45.86,86.19,-13.81
Harshal Patel,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,0,2,0.0,2.38,-2.38,-119.01,-177.57,-165.25,-145.9,0.0,0.0
Heinrich Klaasen,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,20,15,133.33,16.78,3.22,21.45,-44.24,-34.01,-12.43,114.92,-18.41
Heinrich Klaasen,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,16-30,11,7,157.14,9.97,1.03,14.67,-20.43,-10.2,-4.59,135.44,-21.7
Ishan Kishan,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,31,15,206.67,17.38,13.62,90.79,29.1,66.42,61.08,178.13,-28.54
Ishan Kishan,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,2,16-30,24,15,160.0,20.05,3.95,26.3,-17.57,19.76,-1.06,137.91,-22.09
Ishan Kishan,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,3,31-45,25,8,312.5,11.9,13.1,163.77,134.93,172.26,129.99,269.35,-43.15
Jaydev Unadkat,1527674,2026-03-28,"M Chinnaswamy Stadium, Bengaluru",1,Sunrisers Hyderabad,Royal Challengers Bengaluru,1,1-15,4,3,133.33,3.76,0.24,7.94,-44.24,-29.91,-12.54,114.92,-18.41
